Datetime,Count
2013-09-18,3644
2013-09-19,3342
2013-09-20,3122
2013-09-21,1750
2013-09-22,1610
2013-09-23,2786
2013-09-24,3606
2013-09-25,3592
2013-09-26,3464
2013-09-27,3420
2013-09-28,2432
2013-09-29,1760
2013-09-30,2972
2013-10-01,4706
2013-10-02,3512
2013-10-03,3118
2013-10-04,2514
2013-10-05,1566
2013-10-06,1242
2013-10-07,3412
2013-10-08,4598
2013-10-09,4192
2013-10-10,4152
2013-10-11,4550
2013-10-12,2330
2013-10-13,2698
2013-10-14,3832
2013-10-15,4286
2013-10-16,4254
2013-10-17,4432
2013-10-18,3764
2013-10-19,2034
2013-10-20,1704
2013-10-21,3758
2013-10-22,4228
2013-10-23,3988
2013-10-24,3504
2013-10-25,2922
2013-10-26,1984
2013-10-27,2082
2013-10-28,3536
2013-10-29,4030
2013-10-30,3774
2013-10-31,3408
2013-11-01,3878
2013-11-02,2474
2013-11-03,1844
2013-11-04,3754
2013-11-05,4074
2013-11-06,4098
2013-11-07,4000
2013-11-08,2898
2013-11-09,2064
2013-11-10,2244
2013-11-11,3901
2013-11-12,3262
